Week,Week Title,Date,#,Lecture,Readings,Discussion,Lab Due,Project Due,Lab Release,Project Release,Release Grades,Post Lecture,Other,,,,,,,,,,
1,From BabyPandas to Pandas / DataFrames,Mon 08/03/26,1,"Introduction, Data Science Lifecycle",[Ch. 1](https://learningds.org/ch/01/lifecycle_intro.html),,,,,,,,,,,,,,,,,,
,,Tue 08/04/26,2,DataFrame Fundamentals,"[Ch. 6, 6.1](https://learningds.org/ch/06/pandas_intro.html)",,"Lab 1: Python, NumPy, and Pandas",,,,,,,,,,,,,,,,
,,Wed 08/05/26,3,Aggregating,[Ch. 6.2](https://learningds.org/ch/06/pandas_aggregating.html),,,Checkpoint - Gradebook __,,,,,,,,,,,,,,,
,,Thu 08/06/26,4,"Simpson's Paradox, Joining, Transforming",[Ch. 6.3-6.5](https://learningds.org/ch/06/pandas_joining.html),,,,,,,certify academic activity,,,,,,,,,,,
,,Fri 08/07/26,,,,,Lab 2: DataFrames and Grouping,,,,,,,,,,,,,,,,
,,Sat 08/08/26,,,,,,Gradebook __,,,,,,,,,,,,,,,
2,"Messy Data, Statistical Testing / Missing Values",Mon 08/10/26,5,Exploring and Cleaning Data,[Ch. 9](https://learningds.org/ch/09/wrangling_intro.html) and [10](https://learningds.org/ch/10/eda_intro.html),,Lab 3: Merging and Pivoting,,,,,,,,,,,,,,,,
,,Tue 08/11/26,6,Hypothesis and Permutation Testing,[Ch. 17](https://learningds.org/ch/17/inf_pred_gen_intro.html),,,,,,,,,,,,,,,,,,
,,Wed 08/12/26,7,Missingness Mechanisms,"[A1](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4121561/), [A2](https://stefvanbuuren.name/fimd/sec-MCAR.html)",,,Checkpoint - Loans __,,,,,,,,,,,,,,,
,,Thu 08/13/26,8,Imputation,[DSP 6.3-6.5](https://notes.dsc80.com/content/06/handling-missing-data.html),,,,,,,,,,,,,,,,,,
,,Fri 08/14/26,,,,,Lab 4: Hypothesis and Permutation Testing,,,,,,,,,,,,,,,,
,,Sat 08/15/26,,,,,,Loans __,,,,,,,,,,,,,,,
3,"HTTP and HTML / Midterm, Regular Expressions",Mon 08/17/26,9,HTTP Basics,[Ch. 14.2-14.4](https://learningds.org/ch/14/web_json.html),,Lab 5: Missing Values and Imputation,,,,,note: make sure instructions and announcements clearly say no late submissions for lab 5 (no resubmit available) and no private test cases,,,,,,,,,,,
,,Tue 08/18/26,10,Web Scraping,[Ch. 14.2-14.4](https://learningds.org/ch/14/web_json.html),,,,,,,finalize exam,,,,,,,,,,,
,,Wed 08/19/26,REV,Midterm Review,,,,,,,,,Exam begins 2:00pm (during the regular Wed discussion slot),,,,,,,,,,
,,Thu 08/20/26,11,Regular Expressions,[Ch. 13](https://learningds.org/ch/13/text_intro.html),,,,,,,,,,,,,,,,,,
,,Fri 08/21/26,,,,,Lab 6: APIs and Web Scraping,,,,,,,,,,,,,,,,
,,Sat 08/22/26,,,,,Lab 7: Regular Expressions,,,,,,,,,,,,,,,,
4,Text and Modeling / Feature Engineering,Mon 08/24/26,12,Text Features,[Ch. 13.4](https://learningds.org/ch/13/text_sotu.html),,,Checkpoint - Language Models __,,,,,,,,,,,,,,,
,,Tue 08/25/26,13,Linear Regression,[Ch. 15.0-15.6](https://learningds.org/ch/15/linear_intro.html),,,,,,,,,,,,,,,,,,
,,Wed 08/26/26,14,Feature Engineering,[Ch. 15.7-15.9](https://learningds.org/ch/15/linear_feature_eng.html),,,Language Models __,,,,,,,,,,,,,,,
,,Thu 08/27/26,15,"Standardization, Multicollinearity, and Generalization","[Ch. 16](https://learningds.org/ch/16/ms_train_test.html), [17.6](https://learningds.org/ch/17/inf_pred_gen_prob.html)",,,,,,,,,,,,,,,,,,
